customer_id,age,age_group,gender,education,employment_status,marital_status,city_tier,occupation,customer_since,customer_tenure_years,income_band
CUST-00097,40,35-49,Female,Bachelor'S,Employed,Single,Tier 2,Healthcare,2021-12-15,4.04,Middle ($2.5k-$6k)
CUST-00098,74,65+,Male,Bachelor'S,Retired,Single,Tier 2,Retired,2019-08-21,6.36,Upper-Middle ($6k-$10k)
CUST-00099,57,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Software/Tech,2019-03-11,6.81,Upper-Middle ($6k-$10k)
CUST-00100,38,35-49,Female,High School,Employed,Single,Tier 1,Retail/Hospitality,2024-11-18,1.12,Middle ($2.5k-$6k)
CUST-00101,33,25-34,Female,Bachelor'S,Employed,Single,Tier 1,Trades/Manufacturing,2018-12-15,7.04,Middle ($2.5k-$6k)
CUST-00102,62,50-64,Female,Bachelor'S,Self-Employed,Single,Tier 2,Healthcare,2024-09-16,1.29,Upper-Middle ($6k-$10k)
CUST-00103,35,35-49,Female,Bachelor'S,Self-Employed,Single,Tier 1,Retail/Hospitality,2022-12-01,3.08,Middle ($2.5k-$6k)
CUST-00104,64,50-64,Female,Master'S,Unemployed,Single,Tier 3,Unemployed,2022-01-19,3.95,Low (<$2.5k)
CUST-00105,70,65+,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2021-07-30,4.42,Middle ($2.5k-$6k)
CUST-00106,41,35-49,Male,High School,Employed,Married,Tier 2,Retail/Hospitality,2023-01-21,2.94,Middle ($2.5k-$6k)
CUST-00107,43,35-49,Male,Bachelor'S,Self-Employed,Single,Tier 1,Trades/Manufacturing,2022-02-24,3.85,Middle ($2.5k-$6k)
CUST-00108,42,35-49,Male,Bachelor'S,Employed,Married,Tier 3,Finance/Banking,2020-02-14,5.88,Upper-Middle ($6k-$10k)
CUST-00109,62,50-64,Female,Associate,Employed,Single,Tier 1,Trades/Manufacturing,2023-10-17,2.21,Middle ($2.5k-$6k)
CUST-00110,58,50-64,Male,Bachelor'S,Employed,Married,Tier 2,Retail/Hospitality,2023-09-05,2.32,Middle ($2.5k-$6k)
CUST-00111,46,35-49,Male,High School,Employed,Married,Tier 3,Retail/Hospitality,2018-02-28,7.84,Middle ($2.5k-$6k)
CUST-00112,32,25-34,Non-Binary,Associate,Employed,Single,Tier 1,Other,2018-03-18,7.79,Middle ($2.5k-$6k)
CUST-00113,62,50-64,Male,Master'S,Employed,Single,Tier 2,Education,2024-02-29,1.84,Upper-Middle ($6k-$10k)
CUST-00114,18,18-24,Male,Master'S,Employed,Married,Tier 2,Healthcare,2021-08-11,4.39,Upper-Middle ($6k-$10k)
CUST-00115,42,35-49,Male,Bachelor'S,Employed,Single,Tier 2,Healthcare,2023-09-13,2.3,Middle ($2.5k-$6k)
CUST-00116,24,18-24,Male,Bachelor'S,Employed,Widowed,Tier 2,Management/Executive,2019-09-27,6.26,Middle ($2.5k-$6k)
CUST-00117,26,25-34,Female,Master'S,Employed,Divorced,Tier 2,Software/Tech,2018-03-26,7.77,Upper-Middle ($6k-$10k)
CUST-00118,41,35-49,Female,Doctorate,Employed,Married,Tier 1,Software/Tech,2023-07-18,2.46,High (>$10k)
CUST-00119,18,18-24,Female,Bachelor'S,Student,Single,Tier 2,Student,2024-02-20,1.86,Low (<$2.5k)
CUST-00120,61,50-64,Male,Bachelor'S,Employed,Single,Tier 2,Trades/Manufacturing,2021-05-25,4.6,Upper-Middle ($6k-$10k)
CUST-00121,25,25-34,Female,Bachelor'S,Employed,Single,Tier 2,Software/Tech,2024-07-27,1.43,Upper-Middle ($6k-$10k)
CUST-00122,41,35-49,Male,High School,Employed,Single,Tier 3,Education,2018-12-19,7.03,Middle ($2.5k-$6k)
CUST-00123,28,25-34,Male,Bachelor'S,Employed,Widowed,Tier 2,Finance/Banking,2023-04-17,2.71,Upper-Middle ($6k-$10k)
CUST-00124,68,65+,Male,Bachelor'S,Employed,Single,Tier 2,Healthcare,2018-10-21,7.2,Middle ($2.5k-$6k)
CUST-00125,34,25-34,Male,Master'S,Self-Employed,Single,Tier 3,Healthcare,2021-09-27,4.26,High (>$10k)
CUST-00126,25,25-34,Male,Master'S,Employed,Divorced,Tier 2,Software/Tech,2021-08-13,4.38,High (>$10k)
CUST-00127,52,50-64,Male,High School,Self-Employed,Single,Tier 2,Management/Executive,2020-02-09,5.89,Middle ($2.5k-$6k)
CUST-00128,52,50-64,Non-Binary,Bachelor'S,Employed,Married,Tier 1,Education,2018-01-19,7.95,Middle ($2.5k-$6k)
CUST-00129,50,50-64,Male,High School,Employed,Widowed,Tier 1,Retail/Hospitality,2022-08-07,3.4,Middle ($2.5k-$6k)
CUST-00130,22,18-24,Male,High School,Employed,Single,Tier 2,Software/Tech,2023-09-13,2.3,Middle ($2.5k-$6k)
CUST-00131,59,50-64,Male,Master'S,Self-Employed,Married,Tier 3,Healthcare,2021-05-08,4.65,High (>$10k)
CUST-00132,56,50-64,Female,Bachelor'S,Employed,Single,Tier 1,Trades/Manufacturing,2024-11-26,1.1,Upper-Middle ($6k-$10k)
CUST-00133,75,65+,Male,Bachelor'S,Employed,Married,Tier 2,Management/Executive,2024-06-29,1.51,Upper-Middle ($6k-$10k)
CUST-00134,58,50-64,Female,High School,Employed,Single,Tier 1,Software/Tech,2020-08-04,5.41,Middle ($2.5k-$6k)
CUST-00135,45,35-49,Non-Binary,Bachelor'S,Employed,Married,Tier 2,Healthcare,2019-11-20,6.11,Upper-Middle ($6k-$10k)
CUST-00136,24,18-24,Male,Bachelor'S,Employed,Married,Tier 2,Education,2024-09-29,1.25,Middle ($2.5k-$6k)
CUST-00137,26,25-34,Male,High School,Employed,Single,Tier 2,Finance/Banking,2021-04-20,4.7,Middle ($2.5k-$6k)
CUST-00138,25,25-34,Male,Associate,Employed,Married,Tier 1,Healthcare,2023-10-26,2.18,Middle ($2.5k-$6k)
CUST-00139,29,25-34,Female,High School,Employed,Single,Tier 1,Healthcare,2021-07-17,4.46,Middle ($2.5k-$6k)
CUST-00140,51,50-64,Male,Bachelor'S,Employed,Married,Tier 3,Other,2019-10-01,6.25,Upper-Middle ($6k-$10k)
CUST-00141,50,50-64,Male,Doctorate,Employed,Married,Tier 2,Finance/Banking,2021-01-18,4.95,High (>$10k)
CUST-00142,65,65+,Male,Master'S,Retired,Married,Tier 1,Retired,2021-01-04,4.99,High (>$10k)
CUST-00143,72,65+,Female,Doctorate,Retired,Single,Tier 1,Retired,2021-04-27,4.68,Upper-Middle ($6k-$10k)
CUST-00144,40,35-49,Male,Master'S,Employed,Divorced,Tier 1,Software/Tech,2023-12-22,2.03,Upper-Middle ($6k-$10k)
CUST-00145,41,35-49,Male,Master'S,Employed,Married,Tier 2,Healthcare,2024-04-02,1.75,Upper-Middle ($6k-$10k)
CUST-00146,54,50-64,Female,Bachelor'S,Employed,Single,Tier 2,Healthcare,2023-02-07,2.9,Upper-Middle ($6k-$10k)
CUST-00147,52,50-64,Female,Bachelor'S,Employed,Married,Tier 3,Management/Executive,2024-01-29,1.92,Upper-Middle ($6k-$10k)
CUST-00148,61,50-64,Female,Bachelor'S,Employed,Married,Tier 3,Software/Tech,2021-01-23,4.94,High (>$10k)
CUST-00149,57,50-64,Male,Master'S,Employed,Single,Tier 2,Finance/Banking,2022-12-01,3.08,High (>$10k)
CUST-00150,39,35-49,Female,High School,Employed,Single,Tier 2,Finance/Banking,2021-03-04,4.83,Middle ($2.5k-$6k)
CUST-00151,44,35-49,Female,High School,Employed,Divorced,Tier 2,Trades/Manufacturing,2020-03-31,5.75,Middle ($2.5k-$6k)
CUST-00152,52,50-64,Male,Master'S,Employed,Single,Tier 2,Finance/Banking,2024-03-22,1.78,Upper-Middle ($6k-$10k)
CUST-00153,18,18-24,Female,High School,Employed,Married,Tier 2,Healthcare,2018-01-19,7.95,Middle ($2.5k-$6k)
CUST-00154,52,50-64,Male,Doctorate,Employed,Single,Tier 1,Software/Tech,2022-08-07,3.4,High (>$10k)
CUST-00155,54,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Software/Tech,2023-12-19,2.03,High (>$10k)
CUST-00156,64,50-64,Male,Associate,Employed,Single,Tier 3,Healthcare,2020-02-13,5.88,Middle ($2.5k-$6k)
CUST-00157,31,25-34,Female,Bachelor'S,Employed,Single,Tier 2,Retail/Hospitality,2023-11-20,2.11,Middle ($2.5k-$6k)
CUST-00158,20,18-24,Male,Master'S,Employed,Married,Tier 2,Other,2024-11-29,1.09,Middle ($2.5k-$6k)
CUST-00159,18,18-24,Female,High School,Employed,Married,Tier 3,Software/Tech,2020-05-31,5.59,Middle ($2.5k-$6k)
CUST-00160,22,18-24,Male,Bachelor'S,Self-Employed,Married,Tier 2,Management/Executive,2021-08-26,4.35,High (>$10k)
CUST-00161,43,35-49,Non-Binary,Master'S,Employed,Single,Tier 1,Retail/Hospitality,2021-07-29,4.42,Upper-Middle ($6k-$10k)
CUST-00162,72,65+,Female,High School,Employed,Single,Tier 2,Finance/Banking,2020-11-23,5.1,Upper-Middle ($6k-$10k)
CUST-00163,31,25-34,Male,High School,Employed,Single,Tier 1,Software/Tech,2018-09-22,7.27,Middle ($2.5k-$6k)
CUST-00164,56,50-64,Female,High School,Employed,Married,Tier 1,Education,2023-03-27,2.77,Middle ($2.5k-$6k)
CUST-00165,44,35-49,Non-Binary,High School,Employed,Married,Tier 3,Management/Executive,2024-09-30,1.25,Middle ($2.5k-$6k)
CUST-00166,26,25-34,Male,High School,Employed,Married,Tier 2,Healthcare,2023-01-26,2.93,Middle ($2.5k-$6k)
CUST-00167,32,25-34,Male,Bachelor'S,Employed,Married,Tier 3,Management/Executive,2021-08-11,4.39,Upper-Middle ($6k-$10k)
CUST-00168,32,25-34,Female,Associate,Employed,Married,Tier 3,Retail/Hospitality,2020-10-26,5.18,Middle ($2.5k-$6k)
CUST-00169,43,35-49,Male,Master'S,Employed,Married,Tier 2,Finance/Banking,2023-08-10,2.39,Upper-Middle ($6k-$10k)
CUST-00170,59,50-64,Male,Associate,Employed,Single,Tier 3,Software/Tech,2021-07-26,4.43,Middle ($2.5k-$6k)
CUST-00171,30,25-34,Male,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2022-05-12,3.64,High (>$10k)
CUST-00172,68,65+,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2021-02-06,4.9,Middle ($2.5k-$6k)
CUST-00173,49,35-49,Male,Master'S,Self-Employed,Married,Tier 2,Finance/Banking,2019-10-11,6.22,Middle ($2.5k-$6k)
CUST-00174,56,50-64,Male,Bachelor'S,Employed,Single,Tier 1,Management/Executive,2023-07-03,2.5,Upper-Middle ($6k-$10k)
CUST-00175,66,65+,Female,Associate,Retired,Single,Tier 1,Retired,2022-11-20,3.11,Middle ($2.5k-$6k)
CUST-00176,69,65+,Female,Master'S,Self-Employed,Single,Tier 1,Software/Tech,2020-02-24,5.85,High (>$10k)
CUST-00177,49,35-49,Male,Associate,Employed,Single,Tier 2,Software/Tech,2024-11-04,1.16,Middle ($2.5k-$6k)
CUST-00178,21,18-24,Female,High School,Student,Married,Tier 2,Student,2018-04-21,7.7,Low (<$2.5k)
CUST-00179,47,35-49,Female,Bachelor'S,Employed,Married,Tier 1,Healthcare,2024-07-09,1.48,Upper-Middle ($6k-$10k)
CUST-00180,54,50-64,Female,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2022-05-14,3.63,Upper-Middle ($6k-$10k)
CUST-00181,40,35-49,Male,High School,Employed,Married,Tier 2,Retail/Hospitality,2023-07-14,2.47,Middle ($2.5k-$6k)
CUST-00182,56,50-64,Male,Bachelor'S,Employed,Single,Tier 1,Retail/Hospitality,2024-02-19,1.86,Upper-Middle ($6k-$10k)
CUST-00183,62,50-64,Female,Bachelor'S,Self-Employed,Married,Tier 3,Healthcare,2020-11-27,5.09,Upper-Middle ($6k-$10k)
CUST-00184,32,25-34,Female,Master'S,Employed,Divorced,Tier 2,Healthcare,2023-03-04,2.83,High (>$10k)
CUST-00185,60,50-64,Female,Associate,Unemployed,Married,Tier 3,Unemployed,2022-08-05,3.41,Low (<$2.5k)
CUST-00186,46,35-49,Female,Associate,Employed,Married,Tier 1,Other,2024-11-17,1.12,Middle ($2.5k-$6k)
CUST-00187,53,50-64,Male,Bachelor'S,Employed,Single,Tier 3,Retail/Hospitality,2020-07-30,5.42,Middle ($2.5k-$6k)
CUST-00188,30,25-34,Female,Associate,Employed,Married,Tier 3,Finance/Banking,2024-10-14,1.21,Middle ($2.5k-$6k)
CUST-00189,49,35-49,Male,Bachelor'S,Employed,Married,Tier 2,Healthcare,2018-03-17,7.79,High (>$10k)
CUST-00190,24,18-24,Male,Bachelor'S,Self-Employed,Widowed,Tier 3,Trades/Manufacturing,2018-01-23,7.94,Middle ($2.5k-$6k)
CUST-00191,68,65+,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2022-02-20,3.86,High (>$10k)
CUST-00192,39,35-49,Male,Master'S,Employed,Single,Tier 1,Healthcare,2020-01-17,5.95,Upper-Middle ($6k-$10k)
CUST-00193,45,35-49,Male,Master'S,Self-Employed,Married,Tier 3,Trades/Manufacturing,2021-06-27,4.51,Upper-Middle ($6k-$10k)
CUST-00194,19,18-24,Female,Bachelor'S,Student,Widowed,Tier 2,Student,2018-01-30,7.92,Low (<$2.5k)
CUST-00195,59,50-64,Male,Doctorate,Employed,Married,Tier 1,Retail/Hospitality,2019-06-18,6.54,High (>$10k)
CUST-00196,62,50-64,Non-Binary,High School,Employed,Single,Tier 1,Finance/Banking,2019-05-28,6.6,Middle ($2.5k-$6k)
CUST-00197,74,65+,Non-Binary,Bachelor'S,Retired,Single,Tier 2,Retired,2021-02-21,4.86,Middle ($2.5k-$6k)
CUST-00198,70,65+,Female,Bachelor'S,Retired,Single,Tier 2,Retired,2022-01-14,3.96,Upper-Middle ($6k-$10k)
CUST-00199,23,18-24,Male,Master'S,Employed,Divorced,Tier 3,Software/Tech,2022-11-28,3.09,Upper-Middle ($6k-$10k)
CUST-00200,45,35-49,Male,Bachelor'S,Employed,Married,Tier 2,Finance/Banking,2022-06-26,3.52,High (>$10k)
CUST-00201,45,35-49,Male,Bachelor'S,Self-Employed,Married,Tier 2,Other,2023-01-10,2.97,Middle ($2.5k-$6k)
CUST-00202,61,50-64,Male,Master'S,Employed,Single,Tier 2,Finance/Banking,2019-11-20,6.11,High (>$10k)
CUST-00203,61,50-64,Male,Bachelor'S,Employed,Divorced,Tier 2,Healthcare,2023-07-26,2.43,Upper-Middle ($6k-$10k)
CUST-00204,37,35-49,Non-Binary,Bachelor'S,Employed,Single,Tier 2,Education,2019-09-16,6.29,Middle ($2.5k-$6k)
CUST-00205,47,35-49,Male,High School,Self-Employed,Single,Tier 2,Healthcare,2019-01-17,6.95,Middle ($2.5k-$6k)
CUST-00206,28,25-34,Female,High School,Employed,Single,Tier 3,Education,2020-11-08,5.14,Middle ($2.5k-$6k)
